Episode no = 100; won: False; iter_time_steps = 9; Q(s,a) = -0.15167672727035353; score = -508.0; mean_score/100_episodes = -510.03; reward = -508.0; mean_reward/100_episodes = -509.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-20 09:24:01
Episode no = 200; won: False; iter_time_steps = 11; Q(s,a) = -0.40300014789137284; score = -510.0; mean_score/100_episodes = -510.7; reward = -510.0; mean_reward/100_episodes = -510.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-20 09:24:07
Episode no = 300; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.56; reward = -506.0; mean_reward/100_episodes = -509.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-20 09:24:14
Episode no = 400; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.51; reward = -506.0; mean_reward/100_episodes = -509.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-20 09:24:20
Episode no = 500; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.71; reward = -508.0; mean_reward/100_episodes = -509.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-20 09:24:25
Episode no = 600; won: False; iter_time_steps = 9; Q(s,a) = -2.5264434112173677; score = -508.0; mean_score/100_episodes = -509.99; reward = -508.0; mean_reward/100_episodes = -509.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-20 09:24:31
Episode no = 700; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -508.96; reward = -508.0; mean_reward/100_episodes = -509.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-20 09:24:37
Episode no = 800; won: False; iter_time_steps = 8; Q(s,a) = -3.3573167444255487; score = -507.0; mean_score/100_episodes = -510.22; reward = -507.0; mean_reward/100_episodes = -510.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-20 09:24:43
Episode no = 900; won: False; iter_time_steps = 12; Q(s,a) = -4.480510414769728; score = -511.0; mean_score/100_episodes = -509.85; reward = -511.0; mean_reward/100_episodes = -509.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-20 09:24:50
Episode no = 1000; won: False; iter_time_steps = 11; Q(s,a) = -5.110280070222225; score = -510.0; mean_score/100_episodes = -509.6; reward = -510.0; mean_reward/100_episodes = -509.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-20 09:24:56
Episode no = 1100; won: False; iter_time_steps = 8; Q(s,a) = -5.971356937281918; score = -507.0; mean_score/100_episodes = -509.1; reward = -507.0; mean_reward/100_episodes = -509.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-20 09:25:01
Episode no = 1200; won: False; iter_time_steps = 19; Q(s,a) = -6.64312536196683; score = -518.0; mean_score/100_episodes = -509.99; reward = -518.0; mean_reward/100_episodes = -509.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-20 09:25:08
Episode no = 1300; won: False; iter_time_steps = 7; Q(s,a) = -7.170331431836734; score = -506.0; mean_score/100_episodes = -509.95; reward = -506.0; mean_reward/100_episodes = -509.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-20 09:25:14
Episode no = 1400; won: False; iter_time_steps = 9; Q(s,a) = -8.114375555397913; score = -508.0; mean_score/100_episodes = -509.85; reward = -508.0; mean_reward/100_episodes = -509.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-20 09:25:20
Episode no = 1500; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.65; reward = -508.0; mean_reward/100_episodes = -509.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-20 09:25:27
Episode no = 1600; won: False; iter_time_steps = 12; Q(s,a) = -7.838890138080194; score = -511.0; mean_score/100_episodes = -510.47; reward = -511.0; mean_reward/100_episodes = -510.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-20 09:25:33
Episode no = 1700; won: False; iter_time_steps = 6; Q(s,a) = -10.238661279924752; score = -505.0; mean_score/100_episodes = -508.93; reward = -505.0; mean_reward/100_episodes = -508.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-20 09:25:38
Episode no = 1800; won: False; iter_time_steps = 11; Q(s,a) = -9.843990207311647; score = -510.0; mean_score/100_episodes = -510.05; reward = -510.0; mean_reward/100_episodes = -510.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-20 09:25:45
Episode no = 1900; won: False; iter_time_steps = 8; Q(s,a) = -10.454888617971978; score = -507.0; mean_score/100_episodes = -509.44; reward = -507.0; mean_reward/100_episodes = -509.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-20 09:25:51
Episode no = 2000; won: False; iter_time_steps = 6; Q(s,a) = -11.022452048743352; score = -505.0; mean_score/100_episodes = -509.29; reward = -505.0; mean_reward/100_episodes = -509.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-20 09:25:57
Episode no = 2100; won: False; iter_time_steps = 11; Q(s,a) = -11.184607411221428; score = -510.0; mean_score/100_episodes = -509.88; reward = -510.0; mean_reward/100_episodes = -509.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-20 09:26:04
Episode no = 2200; won: False; iter_time_steps = 16; Q(s,a) = -10.077404576845604; score = -515.0; mean_score/100_episodes = -509.48; reward = -515.0; mean_reward/100_episodes = -509.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-20 09:26:10
Episode no = 2300; won: False; iter_time_steps = 10; Q(s,a) = -13.314148341863394; score = -509.0; mean_score/100_episodes = -511.21; reward = -509.0; mean_reward/100_episodes = -511.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-20 09:26:17
Episode no = 2400; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -510.26; reward = -506.0; mean_reward/100_episodes = -510.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-20 09:26:24
Episode no = 2500; won: False; iter_time_steps = 14; Q(s,a) = -10.926505479726686; score = -513.0; mean_score/100_episodes = -510.56; reward = -513.0; mean_reward/100_episodes = -510.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-20 09:26:31
Episode no = 2600; won: False; iter_time_steps = 11; Q(s,a) = -11.491726973073908; score = -510.0; mean_score/100_episodes = -509.47; reward = -510.0; mean_reward/100_episodes = -509.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-20 09:26:38
Episode no = 2700; won: False; iter_time_steps = 11; Q(s,a) = -11.684393970128628; score = -510.0; mean_score/100_episodes = -510.78; reward = -510.0; mean_reward/100_episodes = -510.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-20 09:26:45
Episode no = 2800; won: False; iter_time_steps = 11; Q(s,a) = -12.917546599511496; score = -510.0; mean_score/100_episodes = -510.12; reward = -510.0; mean_reward/100_episodes = -510.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-20 09:26:52
Episode no = 2900; won: False; iter_time_steps = 11; Q(s,a) = -16.099120736730526; score = -510.0; mean_score/100_episodes = -510.22; reward = -510.0; mean_reward/100_episodes = -510.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-20 09:26:59
Episode no = 3000; won: False; iter_time_steps = 11; Q(s,a) = -13.432149106940368; score = -510.0; mean_score/100_episodes = -510.3; reward = -510.0; mean_reward/100_episodes = -510.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-20 09:27:05
Episode no = 3100; won: False; iter_time_steps = 6; Q(s,a) = -13.208916682356055; score = -505.0; mean_score/100_episodes = -509.9; reward = -505.0; mean_reward/100_episodes = -509.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-20 09:27:12
Episode no = 3200; won: False; iter_time_steps = 10; Q(s,a) = -13.532009030299847; score = -509.0; mean_score/100_episodes = -510.17; reward = -509.0; mean_reward/100_episodes = -510.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-20 09:27:19
Episode no = 3300; won: False; iter_time_steps = 9; Q(s,a) = -13.860498895188622; score = -508.0; mean_score/100_episodes = -510.52; reward = -508.0; mean_reward/100_episodes = -510.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-20 09:27:26
Episode no = 3400; won: False; iter_time_steps = 9; Q(s,a) = -13.67177460670413; score = -508.0; mean_score/100_episodes = -510.0; reward = -508.0; mean_reward/100_episodes = -510.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-20 09:27:32
Episode no = 3500; won: False; iter_time_steps = 9; Q(s,a) = -14.615286171071713; score = -508.0; mean_score/100_episodes = -510.22; reward = -508.0; mean_reward/100_episodes = -510.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-20 09:27:38
Episode no = 3600; won: False; iter_time_steps = 12; Q(s,a) = -15.281130524879744; score = -511.0; mean_score/100_episodes = -510.36; reward = -511.0; mean_reward/100_episodes = -510.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-20 09:27:45
Episode no = 3700; won: False; iter_time_steps = 11; Q(s,a) = -13.718525912580082; score = -510.0; mean_score/100_episodes = -510.01; reward = -510.0; mean_reward/100_episodes = -510.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-20 09:27:52
Episode no = 3800; won: False; iter_time_steps = 8; Q(s,a) = -15.616634788439566; score = -507.0; mean_score/100_episodes = -509.78; reward = -507.0; mean_reward/100_episodes = -509.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-20 09:27:59
Episode no = 3900; won: False; iter_time_steps = 11; Q(s,a) = -15.777101391928158; score = -510.0; mean_score/100_episodes = -510.6; reward = -510.0; mean_reward/100_episodes = -510.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-20 09:28:06
Episode no = 4000; won: False; iter_time_steps = 5; Q(s,a) = -52.280620688051485; score = -504.0; mean_score/100_episodes = -510.62; reward = -504.0; mean_reward/100_episodes = -510.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-20 09:28:13
Episode no = 4100; won: False; iter_time_steps = 11; Q(s,a) = -19.42451108177377; score = -510.0; mean_score/100_episodes = -510.08; reward = -510.0; mean_reward/100_episodes = -510.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-20 09:28:20
Episode no = 4200; won: False; iter_time_steps = 9; Q(s,a) = -17.029225616770784; score = -508.0; mean_score/100_episodes = -510.36; reward = -508.0; mean_reward/100_episodes = -510.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-20 09:28:27
Episode no = 4300; won: False; iter_time_steps = 11; Q(s,a) = -16.783229678321252; score = -510.0; mean_score/100_episodes = -510.8; reward = -510.0; mean_reward/100_episodes = -510.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-20 09:28:35
Episode no = 4400; won: False; iter_time_steps = 11; Q(s,a) = -17.184372822711733; score = -510.0; mean_score/100_episodes = -509.82; reward = -510.0; mean_reward/100_episodes = -509.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-20 09:28:42
Episode no = 4500; won: False; iter_time_steps = 8; Q(s,a) = -15.964074642873047; score = -507.0; mean_score/100_episodes = -510.87; reward = -507.0; mean_reward/100_episodes = -510.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-20 09:28:49
Episode no = 4600; won: False; iter_time_steps = 15; Q(s,a) = -16.550701859186102; score = -514.0; mean_score/100_episodes = -510.01; reward = -514.0; mean_reward/100_episodes = -510.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-20 09:28:56
Episode no = 4700; won: False; iter_time_steps = 17; Q(s,a) = -17.806896270940925; score = -516.0; mean_score/100_episodes = -509.7; reward = -516.0; mean_reward/100_episodes = -509.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-20 09:29:02
Episode no = 4800; won: False; iter_time_steps = 11; Q(s,a) = -18.209992193653008; score = -510.0; mean_score/100_episodes = -510.55; reward = -510.0; mean_reward/100_episodes = -510.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-20 09:29:10
Episode no = 4900; won: False; iter_time_steps = 11; Q(s,a) = -19.18859651590554; score = -510.0; mean_score/100_episodes = -509.75; reward = -510.0; mean_reward/100_episodes = -509.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-20 09:29:16
Episode no = 5000; won: False; iter_time_steps = 8; Q(s,a) = -19.582416286823282; score = -507.0; mean_score/100_episodes = -510.78; reward = -507.0; mean_reward/100_episodes = -510.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-20 09:29:24
Episode no = 5100; won: False; iter_time_steps = 18; Q(s,a) = -18.203007860872265; score = -517.0; mean_score/100_episodes = -510.13; reward = -517.0; mean_reward/100_episodes = -510.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-20 09:29:31
Episode no = 5200; won: False; iter_time_steps = 6; Q(s,a) = -18.62719285910741; score = -505.0; mean_score/100_episodes = -510.35; reward = -505.0; mean_reward/100_episodes = -510.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-20 09:29:39
Episode no = 5300; won: False; iter_time_steps = 18; Q(s,a) = -18.31616989128139; score = -517.0; mean_score/100_episodes = -509.8; reward = -517.0; mean_reward/100_episodes = -509.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-20 09:29:45
Episode no = 5400; won: False; iter_time_steps = 25; Q(s,a) = -18.58559660438363; score = -524.0; mean_score/100_episodes = -510.62; reward = -524.0; mean_reward/100_episodes = -510.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-20 09:29:53
Episode no = 5500; won: False; iter_time_steps = 18; Q(s,a) = -17.280569555075882; score = -517.0; mean_score/100_episodes = -510.28; reward = -517.0; mean_reward/100_episodes = -510.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-20 09:30:00
Episode no = 5600; won: False; iter_time_steps = 16; Q(s,a) = -18.13072059913683; score = -515.0; mean_score/100_episodes = -509.85; reward = -515.0; mean_reward/100_episodes = -509.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-20 09:30:07
Episode no = 5700; won: False; iter_time_steps = 22; Q(s,a) = -17.39177548840012; score = -511.0; mean_score/100_episodes = -510.9; reward = -510.0; mean_reward/100_episodes = -510.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-20 09:30:15
Episode no = 5800; won: False; iter_time_steps = 9; Q(s,a) = -17.55411006880294; score = -508.0; mean_score/100_episodes = -510.56; reward = -508.0; mean_reward/100_episodes = -510.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-20 09:30:22
Episode no = 5900; won: False; iter_time_steps = 8; Q(s,a) = -17.459001329010263; score = -507.0; mean_score/100_episodes = -510.4; reward = -507.0; mean_reward/100_episodes = -510.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-20 09:30:30
Episode no = 6000; won: False; iter_time_steps = 5; Q(s,a) = -16.998516612170526; score = -504.0; mean_score/100_episodes = -509.73; reward = -504.0; mean_reward/100_episodes = -509.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-20 09:30:37
Episode no = 6100; won: False; iter_time_steps = 25; Q(s,a) = -17.318979598315106; score = -524.0; mean_score/100_episodes = -509.18; reward = -524.0; mean_reward/100_episodes = -509.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-20 09:30:45
Episode no = 6200; won: False; iter_time_steps = 9; Q(s,a) = -17.507453941825254; score = -508.0; mean_score/100_episodes = -511.3; reward = -508.0; mean_reward/100_episodes = -511.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-20 09:30:54
Episode no = 6300; won: False; iter_time_steps = 24; Q(s,a) = -16.85241738805577; score = -523.0; mean_score/100_episodes = -511.16; reward = -523.0; mean_reward/100_episodes = -511.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-20 09:31:02
Episode no = 6400; won: False; iter_time_steps = 11; Q(s,a) = -17.37631433826141; score = -510.0; mean_score/100_episodes = -511.26; reward = -510.0; mean_reward/100_episodes = -511.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-12-20 09:31:10
Episode no = 6500; won: False; iter_time_steps = 14; Q(s,a) = -17.109616960768545; score = -503.0; mean_score/100_episodes = -509.57; reward = -502.0; mean_reward/100_episodes = -509.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-20 09:31:19
Episode no = 6600; won: False; iter_time_steps = 14; Q(s,a) = -21.047134953807962; score = -503.0; mean_score/100_episodes = -508.99; reward = -502.0; mean_reward/100_episodes = -508.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.0, 2024-12-20 09:31:27
Episode no = 6700; won: False; iter_time_steps = 7; Q(s,a) = -16.84352963369013; score = -506.0; mean_score/100_episodes = -507.01; reward = -506.0; mean_reward/100_episodes = -506.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-12-20 09:31:35
Episode no = 6800; won: False; iter_time_steps = 7; Q(s,a) = -17.962027704298997; score = -506.0; mean_score/100_episodes = -510.26; reward = -506.0; mean_reward/100_episodes = -510.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 09:31:43
Episode no = 6900; won: False; iter_time_steps = 14; Q(s,a) = -18.087599878132306; score = -503.0; mean_score/100_episodes = -508.29; reward = -502.0; mean_reward/100_episodes = -507.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 09:31:51
