Episode no = 100; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -508.69; reward = -506.0; mean_reward/100_episodes = -508.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-15 08:46:25
Episode no = 200; won: False; iter_time_steps = 7; Q(s,a) = -0.33611144837532336; score = -506.0; mean_score/100_episodes = -508.91; reward = -506.0; mean_reward/100_episodes = -508.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-15 08:46:31
Episode no = 300; won: False; iter_time_steps = 18; Q(s,a) = -0.5904421821898356; score = -517.0; mean_score/100_episodes = -510.54; reward = -517.0; mean_reward/100_episodes = -510.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-15 08:46:39
Episode no = 400; won: False; iter_time_steps = 14; Q(s,a) = -0.82265617680423; score = -513.0; mean_score/100_episodes = -510.12; reward = -513.0; mean_reward/100_episodes = -510.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-15 08:46:46
Episode no = 500; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -509.73; reward = -511.0; mean_reward/100_episodes = -509.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-15 08:46:54
Episode no = 600; won: False; iter_time_steps = 10; Q(s,a) = -1.2931801955328683; score = -509.0; mean_score/100_episodes = -509.25; reward = -509.0; mean_reward/100_episodes = -509.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-15 08:47:02
Episode no = 700; won: False; iter_time_steps = 14; Q(s,a) = -1.5151456952295919; score = -513.0; mean_score/100_episodes = -509.42; reward = -513.0; mean_reward/100_episodes = -509.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-15 08:47:09
Episode no = 800; won: False; iter_time_steps = 18; Q(s,a) = -1.7408981539883837; score = -517.0; mean_score/100_episodes = -509.54; reward = -517.0; mean_reward/100_episodes = -509.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-15 08:47:16
Episode no = 900; won: False; iter_time_steps = 17; Q(s,a) = -1.9641610789790658; score = -506.0; mean_score/100_episodes = -509.3; reward = -505.0; mean_reward/100_episodes = -509.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-15 08:47:22
Episode no = 1000; won: False; iter_time_steps = 19; Q(s,a) = -2.789071111871872; score = -518.0; mean_score/100_episodes = -509.55; reward = -518.0; mean_reward/100_episodes = -509.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-15 08:47:29
Episode no = 1100; won: False; iter_time_steps = 9; Q(s,a) = -3.7621612149056456; score = -508.0; mean_score/100_episodes = -510.44; reward = -508.0; mean_reward/100_episodes = -510.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-15 08:47:37
Episode no = 1200; won: False; iter_time_steps = 10; Q(s,a) = -4.609161964580014; score = -509.0; mean_score/100_episodes = -510.64; reward = -509.0; mean_reward/100_episodes = -510.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-15 08:47:45
Episode no = 1300; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -510.03; reward = -505.0; mean_reward/100_episodes = -509.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-15 08:47:53
Episode no = 1400; won: False; iter_time_steps = 8; Q(s,a) = -6.172038575042707; score = -507.0; mean_score/100_episodes = -510.04; reward = -507.0; mean_reward/100_episodes = -510.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-15 08:48:01
Episode no = 1500; won: False; iter_time_steps = 9; Q(s,a) = -6.919635482582825; score = -508.0; mean_score/100_episodes = -509.64; reward = -508.0; mean_reward/100_episodes = -509.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-15 08:48:09
Episode no = 1600; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.19; reward = -510.0; mean_reward/100_episodes = -509.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-15 08:48:16
Episode no = 1700; won: False; iter_time_steps = 37; Q(s,a) = -8.181827040118955; score = -536.0; mean_score/100_episodes = -510.55; reward = -536.0; mean_reward/100_episodes = -510.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-15 08:48:24
Episode no = 1800; won: False; iter_time_steps = 9; Q(s,a) = -8.870102593893407; score = -508.0; mean_score/100_episodes = -509.91; reward = -508.0; mean_reward/100_episodes = -509.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-15 08:48:32
Episode no = 1900; won: False; iter_time_steps = 8; Q(s,a) = -9.431727694503538; score = -507.0; mean_score/100_episodes = -510.04; reward = -507.0; mean_reward/100_episodes = -509.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-15 08:48:40
Episode no = 2000; won: False; iter_time_steps = 17; Q(s,a) = -10.151100076862651; score = -516.0; mean_score/100_episodes = -510.04; reward = -516.0; mean_reward/100_episodes = -509.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-15 08:48:48
Episode no = 2100; won: False; iter_time_steps = 27; Q(s,a) = -10.52836799416709; score = -516.0; mean_score/100_episodes = -510.34; reward = -515.0; mean_reward/100_episodes = -510.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-15 08:48:57
Episode no = 2200; won: False; iter_time_steps = 10; Q(s,a) = -11.36404381376552; score = -509.0; mean_score/100_episodes = -509.79; reward = -509.0; mean_reward/100_episodes = -509.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-15 08:49:04
Episode no = 2300; won: False; iter_time_steps = 18; Q(s,a) = -11.861627905791991; score = -517.0; mean_score/100_episodes = -509.6; reward = -517.0; mean_reward/100_episodes = -509.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-15 08:49:13
Episode no = 2400; won: False; iter_time_steps = 13; Q(s,a) = -12.256107395349321; score = -512.0; mean_score/100_episodes = -509.1; reward = -512.0; mean_reward/100_episodes = -508.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-15 08:49:20
Episode no = 2500; won: False; iter_time_steps = 10; Q(s,a) = -12.310748110330545; score = -509.0; mean_score/100_episodes = -510.22; reward = -509.0; mean_reward/100_episodes = -510.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-15 08:49:29
Episode no = 2600; won: False; iter_time_steps = 8; Q(s,a) = -12.947335334841483; score = -507.0; mean_score/100_episodes = -509.43; reward = -507.0; mean_reward/100_episodes = -509.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-15 08:49:38
Episode no = 2700; won: False; iter_time_steps = 13; Q(s,a) = -13.85273783240933; score = -512.0; mean_score/100_episodes = -509.48; reward = -512.0; mean_reward/100_episodes = -509.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-15 08:49:46
Episode no = 2800; won: False; iter_time_steps = 9; Q(s,a) = -14.382757955669085; score = -508.0; mean_score/100_episodes = -509.44; reward = -508.0; mean_reward/100_episodes = -508.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-15 08:49:54
Episode no = 2900; won: False; iter_time_steps = 6; Q(s,a) = -14.20114902015032; score = -505.0; mean_score/100_episodes = -509.75; reward = -505.0; mean_reward/100_episodes = -509.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-15 08:50:02
Episode no = 3000; won: False; iter_time_steps = 16; Q(s,a) = -15.125746679600208; score = -505.0; mean_score/100_episodes = -509.31; reward = -504.0; mean_reward/100_episodes = -508.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-15 08:50:11
Episode no = 3100; won: False; iter_time_steps = 12; Q(s,a) = -15.07804440243389; score = -511.0; mean_score/100_episodes = -509.31; reward = -511.0; mean_reward/100_episodes = -509.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-15 08:50:18
Episode no = 3200; won: False; iter_time_steps = 12; Q(s,a) = -14.644690694411624; score = -511.0; mean_score/100_episodes = -509.37; reward = -511.0; mean_reward/100_episodes = -509.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-15 08:50:26
Episode no = 3300; won: False; iter_time_steps = 8; Q(s,a) = -15.081991194776306; score = -507.0; mean_score/100_episodes = -510.1; reward = -507.0; mean_reward/100_episodes = -509.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-15 08:50:34
Episode no = 3400; won: False; iter_time_steps = 11; Q(s,a) = -16.198419664026055; score = -510.0; mean_score/100_episodes = -510.12; reward = -510.0; mean_reward/100_episodes = -509.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-15 08:50:44
Episode no = 3500; won: False; iter_time_steps = 8; Q(s,a) = -15.698129027818366; score = -507.0; mean_score/100_episodes = -510.34; reward = -507.0; mean_reward/100_episodes = -510.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-15 08:50:54
