Episode no = 100; won: False; iter_time_steps = 23; Q(s,a) = nan; score = -522.0; mean_score/100_episodes = -510.15; reward = -522.0; mean_reward/100_episodes = -510.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-12 03:41:34
Episode no = 200; won: False; iter_time_steps = 23; Q(s,a) = nan; score = -522.0; mean_score/100_episodes = -509.96; reward = -522.0; mean_reward/100_episodes = -509.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-12 03:41:41
Episode no = 300; won: False; iter_time_steps = 12; Q(s,a) = -0.634624746755524; score = -511.0; mean_score/100_episodes = -510.31; reward = -511.0; mean_reward/100_episodes = -510.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-12 03:41:50
Episode no = 400; won: False; iter_time_steps = 7; Q(s,a) = -0.8680598418318749; score = -506.0; mean_score/100_episodes = -509.58; reward = -506.0; mean_reward/100_episodes = -509.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-12 03:41:59
Episode no = 500; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -508.85; reward = -507.0; mean_reward/100_episodes = -508.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-12 03:42:09
Episode no = 600; won: False; iter_time_steps = 14; Q(s,a) = -1.3216946953546926; score = -513.0; mean_score/100_episodes = -509.63; reward = -513.0; mean_reward/100_episodes = -509.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-12 03:42:19
Episode no = 700; won: False; iter_time_steps = 8; Q(s,a) = -1.9063529473225809; score = -507.0; mean_score/100_episodes = -509.7; reward = -507.0; mean_reward/100_episodes = -509.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-12 03:42:30
Episode no = 800; won: False; iter_time_steps = 20; Q(s,a) = -2.2905231208517063; score = -509.0; mean_score/100_episodes = -510.01; reward = -508.0; mean_reward/100_episodes = -509.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-12 03:42:41
Episode no = 900; won: False; iter_time_steps = 6; Q(s,a) = -2.3516566598202173; score = -505.0; mean_score/100_episodes = -509.14; reward = -505.0; mean_reward/100_episodes = -508.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-12 03:42:52
Episode no = 1000; won: False; iter_time_steps = 12; Q(s,a) = -4.261057545613297; score = -511.0; mean_score/100_episodes = -508.96; reward = -511.0; mean_reward/100_episodes = -508.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-12 03:43:01
Episode no = 1100; won: False; iter_time_steps = 11; Q(s,a) = -5.157454560265389; score = -510.0; mean_score/100_episodes = -509.53; reward = -510.0; mean_reward/100_episodes = -509.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-12 03:43:11
