Episode no = 100; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.2; reward = -508.0; mean_reward/100_episodes = -509.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-16 09:43:53
Episode no = 200; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.41; reward = -506.0; mean_reward/100_episodes = -509.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-16 09:43:59
Episode no = 300; won: False; iter_time_steps = 8; Q(s,a) = -0.5703052751025993; score = -507.0; mean_score/100_episodes = -509.11; reward = -507.0; mean_reward/100_episodes = -509.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-16 09:44:05
Episode no = 400; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -510.09; reward = -508.0; mean_reward/100_episodes = -510.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-16 09:44:12
Episode no = 500; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -510.42; reward = -509.0; mean_reward/100_episodes = -510.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-16 09:44:20
Episode no = 600; won: False; iter_time_steps = 9; Q(s,a) = -1.2837871095614601; score = -508.0; mean_score/100_episodes = -509.71; reward = -508.0; mean_reward/100_episodes = -509.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-16 09:44:27
Episode no = 700; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.29; reward = -508.0; mean_reward/100_episodes = -509.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-16 09:44:33
Episode no = 800; won: False; iter_time_steps = 21; Q(s,a) = -1.7511743096373895; score = -520.0; mean_score/100_episodes = -509.18; reward = -520.0; mean_reward/100_episodes = -509.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-16 09:44:40
Episode no = 900; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -510.35; reward = -507.0; mean_reward/100_episodes = -510.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-16 09:44:47
Episode no = 1000; won: False; iter_time_steps = 10; Q(s,a) = -3.730788133637396; score = -509.0; mean_score/100_episodes = -509.8; reward = -509.0; mean_reward/100_episodes = -509.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-16 09:44:54
Episode no = 1100; won: False; iter_time_steps = 10; Q(s,a) = -4.572096333996507; score = -509.0; mean_score/100_episodes = -509.47; reward = -509.0; mean_reward/100_episodes = -509.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-16 09:45:00
Episode no = 1200; won: False; iter_time_steps = 8; Q(s,a) = -5.2851866255209305; score = -507.0; mean_score/100_episodes = -509.58; reward = -507.0; mean_reward/100_episodes = -509.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-16 09:45:07
Episode no = 1300; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.38; reward = -506.0; mean_reward/100_episodes = -509.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-16 09:45:14
Episode no = 1400; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -510.07; reward = -509.0; mean_reward/100_episodes = -510.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-16 09:45:21
Episode no = 1500; won: False; iter_time_steps = 7; Q(s,a) = -7.202424766981128; score = -506.0; mean_score/100_episodes = -509.57; reward = -506.0; mean_reward/100_episodes = -509.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-16 09:45:28
Episode no = 1600; won: False; iter_time_steps = 9; Q(s,a) = -8.337827835483589; score = -508.0; mean_score/100_episodes = -509.94; reward = -508.0; mean_reward/100_episodes = -510.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-16 09:45:36
Episode no = 1700; won: False; iter_time_steps = 8; Q(s,a) = -9.342440778570841; score = -507.0; mean_score/100_episodes = -510.04; reward = -507.0; mean_reward/100_episodes = -509.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-16 09:45:44
Episode no = 1800; won: False; iter_time_steps = 11; Q(s,a) = -9.272841152757426; score = -510.0; mean_score/100_episodes = -509.47; reward = -510.0; mean_reward/100_episodes = -509.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-16 09:45:51
Episode no = 1900; won: False; iter_time_steps = 12; Q(s,a) = -9.596534439093102; score = -511.0; mean_score/100_episodes = -510.2; reward = -511.0; mean_reward/100_episodes = -510.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-16 09:45:59
Episode no = 2000; won: False; iter_time_steps = 11; Q(s,a) = -10.138660349817181; score = -510.0; mean_score/100_episodes = -510.31; reward = -510.0; mean_reward/100_episodes = -510.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-16 09:46:07
Episode no = 2100; won: False; iter_time_steps = 6; Q(s,a) = -11.257051919215971; score = -505.0; mean_score/100_episodes = -509.51; reward = -505.0; mean_reward/100_episodes = -509.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-16 09:46:15
Episode no = 2200; won: False; iter_time_steps = 11; Q(s,a) = -10.640806953343576; score = -510.0; mean_score/100_episodes = -509.97; reward = -510.0; mean_reward/100_episodes = -509.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-16 09:46:23
Episode no = 2300; won: False; iter_time_steps = 5; Q(s,a) = -12.427996590702477; score = -504.0; mean_score/100_episodes = -510.04; reward = -504.0; mean_reward/100_episodes = -510.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-16 09:46:30
Episode no = 2400; won: False; iter_time_steps = 13; Q(s,a) = -11.639801685946566; score = -512.0; mean_score/100_episodes = -510.4; reward = -512.0; mean_reward/100_episodes = -510.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-16 09:46:39
Episode no = 2500; won: False; iter_time_steps = 8; Q(s,a) = -13.45608268770994; score = -507.0; mean_score/100_episodes = -508.86; reward = -507.0; mean_reward/100_episodes = -508.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-16 09:46:45
Episode no = 2600; won: False; iter_time_steps = 9; Q(s,a) = -12.770324613188844; score = -508.0; mean_score/100_episodes = -509.79; reward = -508.0; mean_reward/100_episodes = -509.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-16 09:46:54
