Episode no = 100; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -508.84; reward = -508.0; mean_reward/100_episodes = -509.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-20 04:04:03
Episode no = 200; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -509.37; reward = -511.0; mean_reward/100_episodes = -509.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-20 04:04:07
Episode no = 300; won: False; iter_time_steps = 9; Q(s,a) = -2.975522071374347; score = -508.0; mean_score/100_episodes = -509.5; reward = -508.0; mean_reward/100_episodes = -509.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-20 04:04:10
Episode no = 400; won: False; iter_time_steps = 13; Q(s,a) = -4.042964854867771; score = -512.0; mean_score/100_episodes = -509.16; reward = -512.0; mean_reward/100_episodes = -509.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-20 04:04:14
Episode no = 500; won: False; iter_time_steps = 10; Q(s,a) = -4.6865788437553695; score = -509.0; mean_score/100_episodes = -509.14; reward = -509.0; mean_reward/100_episodes = -509.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-20 04:04:17
Episode no = 600; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -508.99; reward = -507.0; mean_reward/100_episodes = -508.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-20 04:04:21
Episode no = 700; won: False; iter_time_steps = 17; Q(s,a) = -6.355231499231036; score = -516.0; mean_score/100_episodes = -510.08; reward = -516.0; mean_reward/100_episodes = -510.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-20 04:04:25
Episode no = 800; won: False; iter_time_steps = 7; Q(s,a) = -7.2112102875104425; score = -506.0; mean_score/100_episodes = -509.74; reward = -506.0; mean_reward/100_episodes = -509.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-20 04:04:29
Episode no = 900; won: False; iter_time_steps = 10; Q(s,a) = -7.805118730153326; score = -509.0; mean_score/100_episodes = -510.02; reward = -509.0; mean_reward/100_episodes = -509.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-20 04:04:33
Episode no = 1000; won: False; iter_time_steps = 12; Q(s,a) = -8.222350947742784; score = -511.0; mean_score/100_episodes = -510.02; reward = -511.0; mean_reward/100_episodes = -509.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-20 04:04:37
Episode no = 1100; won: False; iter_time_steps = 14; Q(s,a) = -9.08317605169608; score = -513.0; mean_score/100_episodes = -509.27; reward = -513.0; mean_reward/100_episodes = -509.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-20 04:04:41
Episode no = 1200; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.67; reward = -506.0; mean_reward/100_episodes = -509.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-20 04:04:45
Episode no = 1300; won: False; iter_time_steps = 8; Q(s,a) = -10.223692004134948; score = -507.0; mean_score/100_episodes = -510.34; reward = -507.0; mean_reward/100_episodes = -510.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-20 04:04:49
Episode no = 1400; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.94; reward = -507.0; mean_reward/100_episodes = -509.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-20 04:04:53
Episode no = 1500; won: False; iter_time_steps = 7; Q(s,a) = -11.408941269396227; score = -506.0; mean_score/100_episodes = -509.6; reward = -506.0; mean_reward/100_episodes = -509.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-20 04:04:57
Episode no = 1600; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.95; reward = -508.0; mean_reward/100_episodes = -509.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-20 04:05:01
Episode no = 1700; won: False; iter_time_steps = 9; Q(s,a) = -11.975249737869984; score = -508.0; mean_score/100_episodes = -510.07; reward = -508.0; mean_reward/100_episodes = -509.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-20 04:05:05
Episode no = 1800; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.43; reward = -506.0; mean_reward/100_episodes = -509.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-20 04:05:09
Episode no = 1900; won: False; iter_time_steps = 22; Q(s,a) = -13.24678726819773; score = -521.0; mean_score/100_episodes = -509.43; reward = -521.0; mean_reward/100_episodes = -509.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-20 04:05:13
Episode no = 2000; won: False; iter_time_steps = 8; Q(s,a) = -13.668500834620804; score = -507.0; mean_score/100_episodes = -509.71; reward = -507.0; mean_reward/100_episodes = -509.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-20 04:05:17
Episode no = 2100; won: False; iter_time_steps = 12; Q(s,a) = -14.239180743399306; score = -511.0; mean_score/100_episodes = -509.57; reward = -511.0; mean_reward/100_episodes = -509.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-20 04:05:21
Episode no = 2200; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -510.46; reward = -507.0; mean_reward/100_episodes = -510.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-20 04:05:26
Episode no = 2300; won: False; iter_time_steps = 10; Q(s,a) = -14.955131274218877; score = -509.0; mean_score/100_episodes = -509.61; reward = -509.0; mean_reward/100_episodes = -509.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-20 04:05:29
