Episode no = 100; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.71; reward = -507.0; mean_reward/100_episodes = -509.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-16 04:17:10
Episode no = 200; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.43; reward = -505.0; mean_reward/100_episodes = -509.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-16 04:17:18
Episode no = 300; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -508.78; reward = -506.0; mean_reward/100_episodes = -508.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-16 04:17:25
Episode no = 400; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.55; reward = -509.0; mean_reward/100_episodes = -509.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-16 04:17:33
Episode no = 500; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.85; reward = -507.0; mean_reward/100_episodes = -509.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-16 04:17:41
Episode no = 600; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -509.99; reward = -511.0; mean_reward/100_episodes = -509.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-16 04:17:50
Episode no = 700; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.54; reward = -507.0; mean_reward/100_episodes = -509.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-16 04:17:58
Episode no = 800; won: False; iter_time_steps = 5; Q(s,a) = -1.802050431795502; score = -504.0; mean_score/100_episodes = -509.79; reward = -504.0; mean_reward/100_episodes = -509.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-16 04:18:07
Episode no = 900; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.23; reward = -508.0; mean_reward/100_episodes = -509.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-16 04:18:15
Episode no = 1000; won: False; iter_time_steps = 9; Q(s,a) = -2.272007031827325; score = -508.0; mean_score/100_episodes = -509.05; reward = -508.0; mean_reward/100_episodes = -508.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-16 04:18:22
Episode no = 1100; won: False; iter_time_steps = 13; Q(s,a) = nan; score = -512.0; mean_score/100_episodes = -508.04; reward = -512.0; mean_reward/100_episodes = -508.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-16 04:18:30
Episode no = 1200; won: False; iter_time_steps = 25; Q(s,a) = -3.878271045530272; score = -524.0; mean_score/100_episodes = -509.61; reward = -524.0; mean_reward/100_episodes = -509.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-16 04:18:38
Episode no = 1300; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -510.75; reward = -511.0; mean_reward/100_episodes = -510.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-16 04:18:47
Episode no = 1400; won: False; iter_time_steps = 7; Q(s,a) = -5.636299722917759; score = -506.0; mean_score/100_episodes = -511.17; reward = -506.0; mean_reward/100_episodes = -511.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-16 04:18:57
Episode no = 1500; won: False; iter_time_steps = 9; Q(s,a) = -6.430026108963549; score = -508.0; mean_score/100_episodes = -510.08; reward = -508.0; mean_reward/100_episodes = -510.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-16 04:19:06
Episode no = 1600; won: False; iter_time_steps = 8; Q(s,a) = -7.197885309894854; score = -507.0; mean_score/100_episodes = -510.39; reward = -507.0; mean_reward/100_episodes = -510.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-16 04:19:15
Episode no = 1700; won: False; iter_time_steps = 13; Q(s,a) = -7.915139219058327; score = -512.0; mean_score/100_episodes = -509.6; reward = -512.0; mean_reward/100_episodes = -509.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-16 04:19:24
Episode no = 1800; won: False; iter_time_steps = 16; Q(s,a) = -8.605573645849308; score = -515.0; mean_score/100_episodes = -509.8; reward = -515.0; mean_reward/100_episodes = -509.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-16 04:19:33
Episode no = 1900; won: False; iter_time_steps = 11; Q(s,a) = -9.232450770381547; score = -510.0; mean_score/100_episodes = -510.26; reward = -510.0; mean_reward/100_episodes = -510.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-16 04:19:43
Episode no = 2000; won: False; iter_time_steps = 10; Q(s,a) = -9.845666641182916; score = -509.0; mean_score/100_episodes = -509.26; reward = -509.0; mean_reward/100_episodes = -509.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-16 04:19:51
Episode no = 2100; won: False; iter_time_steps = 8; Q(s,a) = -10.439331297162155; score = -507.0; mean_score/100_episodes = -510.07; reward = -507.0; mean_reward/100_episodes = -510.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-16 04:20:00
Episode no = 2200; won: False; iter_time_steps = 14; Q(s,a) = -11.016189947772615; score = -513.0; mean_score/100_episodes = -509.08; reward = -513.0; mean_reward/100_episodes = -509.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-16 04:20:08
Episode no = 2300; won: False; iter_time_steps = 8; Q(s,a) = -11.558328882291178; score = -507.0; mean_score/100_episodes = -499.15; reward = -507.0; mean_reward/100_episodes = -503.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.01, 2024-12-16 04:20:17
Episode no = 2400; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -510.28; reward = -507.0; mean_reward/100_episodes = -510.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-16 04:20:26
Episode no = 2500; won: False; iter_time_steps = 8; Q(s,a) = -12.539855162820128; score = -507.0; mean_score/100_episodes = -510.53; reward = -507.0; mean_reward/100_episodes = -510.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-16 04:20:36
Episode no = 2600; won: False; iter_time_steps = 28; Q(s,a) = -12.923509899771181; score = -527.0; mean_score/100_episodes = -509.83; reward = -527.0; mean_reward/100_episodes = -509.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-16 04:20:45
Episode no = 2700; won: False; iter_time_steps = 9; Q(s,a) = -13.390619488356979; score = -508.0; mean_score/100_episodes = -509.23; reward = -508.0; mean_reward/100_episodes = -508.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-16 04:20:54
