Episode no = 100; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -510.2; reward = -510.0; mean_reward/100_episodes = -510.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-17 10:39:08
Episode no = 200; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.23; reward = -508.0; mean_reward/100_episodes = -509.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-17 10:39:14
Episode no = 300; won: False; iter_time_steps = 11; Q(s,a) = -4.1498739466662355; score = -510.0; mean_score/100_episodes = -509.46; reward = -510.0; mean_reward/100_episodes = -509.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-17 10:39:20
Episode no = 400; won: False; iter_time_steps = 19; Q(s,a) = -5.846500066162923; score = -518.0; mean_score/100_episodes = -510.0; reward = -518.0; mean_reward/100_episodes = -509.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-17 10:39:26
Episode no = 500; won: False; iter_time_steps = 10; Q(s,a) = -7.568377295018748; score = -509.0; mean_score/100_episodes = -509.63; reward = -509.0; mean_reward/100_episodes = -509.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-17 10:39:32
Episode no = 600; won: False; iter_time_steps = 8; Q(s,a) = -8.115945912557589; score = -507.0; mean_score/100_episodes = -510.29; reward = -507.0; mean_reward/100_episodes = -510.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-17 10:39:39
Episode no = 700; won: False; iter_time_steps = 10; Q(s,a) = -8.46781951997378; score = -509.0; mean_score/100_episodes = -509.5; reward = -509.0; mean_reward/100_episodes = -509.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-17 10:39:45
Episode no = 800; won: False; iter_time_steps = 13; Q(s,a) = nan; score = -502.0; mean_score/100_episodes = -509.7; reward = -501.0; mean_reward/100_episodes = -509.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-17 10:39:50
Episode no = 900; won: False; iter_time_steps = 11; Q(s,a) = -11.956854591367653; score = -510.0; mean_score/100_episodes = -509.68; reward = -510.0; mean_reward/100_episodes = -509.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-17 10:39:57
Episode no = 1000; won: False; iter_time_steps = 10; Q(s,a) = -13.277904775920215; score = -509.0; mean_score/100_episodes = -509.28; reward = -509.0; mean_reward/100_episodes = -509.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-17 10:40:02
Episode no = 1100; won: False; iter_time_steps = 6; Q(s,a) = -9.286535913336012; score = -505.0; mean_score/100_episodes = -510.01; reward = -505.0; mean_reward/100_episodes = -509.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-17 10:40:08
Episode no = 1200; won: False; iter_time_steps = 18; Q(s,a) = -14.42589731268609; score = -517.0; mean_score/100_episodes = -509.99; reward = -517.0; mean_reward/100_episodes = -509.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-17 10:40:15
Episode no = 1300; won: False; iter_time_steps = 13; Q(s,a) = -16.355591657427553; score = -512.0; mean_score/100_episodes = -509.55; reward = -512.0; mean_reward/100_episodes = -509.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-17 10:40:21
Episode no = 1400; won: False; iter_time_steps = 14; Q(s,a) = -15.233465334621703; score = -513.0; mean_score/100_episodes = -509.88; reward = -513.0; mean_reward/100_episodes = -509.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-17 10:40:27
Episode no = 1500; won: False; iter_time_steps = 13; Q(s,a) = -16.890726160821373; score = -512.0; mean_score/100_episodes = -510.18; reward = -512.0; mean_reward/100_episodes = -510.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-17 10:40:33
Episode no = 1600; won: False; iter_time_steps = 10; Q(s,a) = -17.36845558123614; score = -509.0; mean_score/100_episodes = -511.03; reward = -509.0; mean_reward/100_episodes = -511.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-17 10:40:40
Episode no = 1700; won: False; iter_time_steps = 22; Q(s,a) = -18.217671238604403; score = -521.0; mean_score/100_episodes = -511.06; reward = -521.0; mean_reward/100_episodes = -510.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-17 10:40:47
Episode no = 1800; won: False; iter_time_steps = 13; Q(s,a) = -22.653090451287035; score = -512.0; mean_score/100_episodes = -509.98; reward = -512.0; mean_reward/100_episodes = -509.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-17 10:40:53
Episode no = 1900; won: False; iter_time_steps = 10; Q(s,a) = -19.905280923780406; score = -509.0; mean_score/100_episodes = -509.55; reward = -509.0; mean_reward/100_episodes = -509.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-17 10:40:59
Episode no = 2000; won: False; iter_time_steps = 8; Q(s,a) = -17.310552103493194; score = -507.0; mean_score/100_episodes = -510.04; reward = -507.0; mean_reward/100_episodes = -510.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-17 10:41:06
Episode no = 2100; won: False; iter_time_steps = 7; Q(s,a) = -11.973120542144741; score = -506.0; mean_score/100_episodes = -510.49; reward = -506.0; mean_reward/100_episodes = -510.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-17 10:41:12
Episode no = 2200; won: False; iter_time_steps = 6; Q(s,a) = -19.407460090526662; score = -505.0; mean_score/100_episodes = -499.9; reward = -505.0; mean_reward/100_episodes = -503.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.01, 2024-12-17 10:41:19
Episode no = 2300; won: False; iter_time_steps = 18; Q(s,a) = -14.408016562779604; score = -507.0; mean_score/100_episodes = -510.18; reward = -506.0; mean_reward/100_episodes = -509.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-17 10:41:26
Episode no = 2400; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -510.07; reward = -506.0; mean_reward/100_episodes = -509.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-17 10:41:32
Episode no = 2500; won: False; iter_time_steps = 12; Q(s,a) = -23.876317092420077; score = -511.0; mean_score/100_episodes = -510.16; reward = -511.0; mean_reward/100_episodes = -510.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-17 10:41:40
Episode no = 2600; won: False; iter_time_steps = 5; Q(s,a) = -26.045713039121907; score = -504.0; mean_score/100_episodes = -509.6; reward = -504.0; mean_reward/100_episodes = -509.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-17 10:41:46
Episode no = 2700; won: False; iter_time_steps = 14; Q(s,a) = -26.145337413854055; score = -513.0; mean_score/100_episodes = -510.59; reward = -513.0; mean_reward/100_episodes = -510.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-17 10:41:54
Episode no = 2800; won: False; iter_time_steps = 16; Q(s,a) = -22.21991338696311; score = -515.0; mean_score/100_episodes = -510.67; reward = -515.0; mean_reward/100_episodes = -510.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-17 10:42:01
Episode no = 2900; won: False; iter_time_steps = 6; Q(s,a) = -30.463503087899113; score = -505.0; mean_score/100_episodes = -501.41; reward = -505.0; mean_reward/100_episodes = -505.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.01, 2024-12-17 10:42:10
Episode no = 3000; won: False; iter_time_steps = 11; Q(s,a) = -17.647080566735983; score = -510.0; mean_score/100_episodes = -511.16; reward = -510.0; mean_reward/100_episodes = -510.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-17 10:42:17
Episode no = 3100; won: False; iter_time_steps = 20; Q(s,a) = 10.594925653749081; score = -509.0; mean_score/100_episodes = -511.17; reward = -508.0; mean_reward/100_episodes = -510.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-17 10:42:26
Episode no = 3200; won: False; iter_time_steps = 63; Q(s,a) = -7.103094400388366; score = -552.0; mean_score/100_episodes = -513.86; reward = -551.0; mean_reward/100_episodes = -513.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-17 10:42:36
Episode no = 3300; won: False; iter_time_steps = 7; Q(s,a) = -11.578761147330791; score = -506.0; mean_score/100_episodes = -510.51; reward = -506.0; mean_reward/100_episodes = -510.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-17 10:42:44
Episode no = 3400; won: False; iter_time_steps = 7; Q(s,a) = -14.548257650471388; score = -506.0; mean_score/100_episodes = -512.3; reward = -506.0; mean_reward/100_episodes = -511.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-17 10:42:53
Episode no = 3500; won: False; iter_time_steps = 16; Q(s,a) = -9.77559356421049; score = -515.0; mean_score/100_episodes = -512.85; reward = -515.0; mean_reward/100_episodes = -512.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-17 10:43:03
Episode no = 3600; won: False; iter_time_steps = 23; Q(s,a) = 14.850651661659223; score = -522.0; mean_score/100_episodes = -512.46; reward = -522.0; mean_reward/100_episodes = -511.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-17 10:43:12
Episode no = 3700; won: False; iter_time_steps = 21; Q(s,a) = 15.32983119934285; score = -510.0; mean_score/100_episodes = -500.68; reward = -509.0; mean_reward/100_episodes = -504.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.01, 2024-12-17 10:43:20
Episode no = 3800; won: False; iter_time_steps = 9; Q(s,a) = -0.06303498247533268; score = -508.0; mean_score/100_episodes = -511.66; reward = -508.0; mean_reward/100_episodes = -511.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-17 10:43:29
Episode no = 3900; won: False; iter_time_steps = 16; Q(s,a) = 22.26478650350508; score = -505.0; mean_score/100_episodes = -493.19; reward = -504.0; mean_reward/100_episodes = -500.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.02, 2024-12-17 10:43:40
Episode no = 4000; won: False; iter_time_steps = 12; Q(s,a) = 0.09660419508127238; score = -511.0; mean_score/100_episodes = -492.76; reward = -511.0; mean_reward/100_episodes = -500.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.02, 2024-12-17 10:43:50
Episode no = 4100; won: False; iter_time_steps = 11; Q(s,a) = 2.2052457369474943; score = -510.0; mean_score/100_episodes = -502.16; reward = -510.0; mean_reward/100_episodes = -505.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.01, 2024-12-17 10:43:59
Episode no = 4200; won: False; iter_time_steps = 20; Q(s,a) = 10.957232320500845; score = -509.0; mean_score/100_episodes = -514.01; reward = -508.0; mean_reward/100_episodes = -513.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-17 10:44:10
Episode no = 4300; won: False; iter_time_steps = 49; Q(s,a) = 14.733229407215445; score = -548.0; mean_score/100_episodes = -513.2; reward = -548.0; mean_reward/100_episodes = -512.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-17 10:44:20
Episode no = 4400; won: False; iter_time_steps = 11; Q(s,a) = 9.935495607329386; score = -510.0; mean_score/100_episodes = -493.58; reward = -510.0; mean_reward/100_episodes = -500.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.02, 2024-12-17 10:44:31
Episode no = 4500; won: False; iter_time_steps = 10; Q(s,a) = 6.281267186628106; score = -509.0; mean_score/100_episodes = -472.05; reward = -509.0; mean_reward/100_episodes = -486.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.04, 2024-12-17 10:44:41
Episode no = 4600; won: False; iter_time_steps = 10; Q(s,a) = 11.166844540515067; score = -509.0; mean_score/100_episodes = -496.53; reward = -509.0; mean_reward/100_episodes = -503.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.02, 2024-12-17 10:44:53
Episode no = 4700; won: False; iter_time_steps = 13; Q(s,a) = 11.061386792853824; score = -512.0; mean_score/100_episodes = -517.26; reward = -512.0; mean_reward/100_episodes = -516.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-17 10:45:06
