Episode no = 100; won: False; iter_time_steps = 62; Q(s,a) = -0.7413849034986374; score = -441.0; mean_score/100_episodes = -466.51; reward = -429.0; mean_reward/100_episodes = -457.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-12 13:31:01
Episode no = 200; won: False; iter_time_steps = 64; Q(s,a) = -1.450278465998762; score = -423.0; mean_score/100_episodes = -473.86; reward = -409.0; mean_reward/100_episodes = -464.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-12 13:31:59
Episode no = 300; won: False; iter_time_steps = 68; Q(s,a) = -2.1110403900092023; score = -517.0; mean_score/100_episodes = -458.91; reward = -512.0; mean_reward/100_episodes = -448.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-12 13:32:57
Episode no = 400; won: False; iter_time_steps = 29; Q(s,a) = -2.717786313840146; score = -448.0; mean_score/100_episodes = -460.0; reward = -440.0; mean_reward/100_episodes = -451.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-12 13:33:47
Episode no = 500; won: False; iter_time_steps = 45; Q(s,a) = -3.2961308316765456; score = -424.0; mean_score/100_episodes = -463.59; reward = -423.0; mean_reward/100_episodes = -455.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-12 13:34:41
Episode no = 600; won: False; iter_time_steps = 58; Q(s,a) = -3.851660961756036; score = -467.0; mean_score/100_episodes = -462.65; reward = -458.0; mean_reward/100_episodes = -454.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-12 13:35:44
Episode no = 700; won: False; iter_time_steps = 125; Q(s,a) = -4.386795085788834; score = -484.0; mean_score/100_episodes = -450.57; reward = -470.0; mean_reward/100_episodes = -442.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-12 13:36:42
Episode no = 800; won: False; iter_time_steps = 76; Q(s,a) = -4.901240060344462; score = -435.0; mean_score/100_episodes = -453.68; reward = -410.0; mean_reward/100_episodes = -450.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-12 13:37:39
Episode no = 900; won: False; iter_time_steps = 19; Q(s,a) = -5.38719538391226; score = -498.0; mean_score/100_episodes = -452.75; reward = -496.0; mean_reward/100_episodes = -444.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-12 13:38:44
Episode no = 1000; won: False; iter_time_steps = 56; Q(s,a) = -5.836917392671273; score = -455.0; mean_score/100_episodes = -438.64; reward = -445.0; mean_reward/100_episodes = -436.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-12 13:39:58
Episode no = 1100; won: False; iter_time_steps = 24; Q(s,a) = -6.2690034469439695; score = -483.0; mean_score/100_episodes = -447.18; reward = -479.0; mean_reward/100_episodes = -440.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-12 13:41:01
