Episode no = 100; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.01; reward = -506.0; mean_reward/100_episodes = -508.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-15 04:45:28
Episode no = 200; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -508.84; reward = -507.0; mean_reward/100_episodes = -508.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-15 04:45:38
Episode no = 300; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.5; reward = -508.0; mean_reward/100_episodes = -509.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-15 04:45:48
Episode no = 400; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -499.68; reward = -508.0; mean_reward/100_episodes = -503.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.01, 2024-12-15 04:45:59
Episode no = 500; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.21; reward = -510.0; mean_reward/100_episodes = -509.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-15 04:46:09
Episode no = 600; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -508.83; reward = -510.0; mean_reward/100_episodes = -508.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-15 04:46:19
Episode no = 700; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.67; reward = -507.0; mean_reward/100_episodes = -509.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-15 04:46:29
Episode no = 800; won: False; iter_time_steps = 12; Q(s,a) = -1.7062360739015385; score = -511.0; mean_score/100_episodes = -509.88; reward = -511.0; mean_reward/100_episodes = -509.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-15 04:46:40
Episode no = 900; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -508.88; reward = -510.0; mean_reward/100_episodes = -508.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-15 04:46:50
Episode no = 1000; won: False; iter_time_steps = 21; Q(s,a) = -2.1529610279500555; score = -520.0; mean_score/100_episodes = -509.91; reward = -520.0; mean_reward/100_episodes = -509.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-15 04:47:01
Episode no = 1100; won: False; iter_time_steps = 10; Q(s,a) = -2.7313396791359974; score = -509.0; mean_score/100_episodes = -509.61; reward = -509.0; mean_reward/100_episodes = -509.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-15 04:47:11
Episode no = 1200; won: False; iter_time_steps = 5; Q(s,a) = nan; score = -504.0; mean_score/100_episodes = -509.56; reward = -504.0; mean_reward/100_episodes = -509.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-15 04:47:23
Episode no = 1300; won: False; iter_time_steps = 10; Q(s,a) = -4.567264519098829; score = -509.0; mean_score/100_episodes = -509.73; reward = -509.0; mean_reward/100_episodes = -509.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-15 04:47:35
Episode no = 1400; won: False; iter_time_steps = 6; Q(s,a) = -5.421277877982977; score = -505.0; mean_score/100_episodes = -509.73; reward = -505.0; mean_reward/100_episodes = -509.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-15 04:47:46
Episode no = 1500; won: False; iter_time_steps = 12; Q(s,a) = -6.222195098442258; score = -511.0; mean_score/100_episodes = -509.25; reward = -511.0; mean_reward/100_episodes = -509.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-15 04:47:58
Episode no = 1600; won: False; iter_time_steps = 8; Q(s,a) = -7.004301359214368; score = -507.0; mean_score/100_episodes = -509.11; reward = -507.0; mean_reward/100_episodes = -509.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-15 04:48:09
Episode no = 1700; won: False; iter_time_steps = 10; Q(s,a) = -7.741238313065335; score = -509.0; mean_score/100_episodes = -510.62; reward = -509.0; mean_reward/100_episodes = -510.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-15 04:48:22
Episode no = 1800; won: False; iter_time_steps = 15; Q(s,a) = -8.459319363292733; score = -504.0; mean_score/100_episodes = -509.49; reward = -492.0; mean_reward/100_episodes = -509.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-15 04:48:34
Episode no = 1900; won: False; iter_time_steps = 9; Q(s,a) = -9.10152618034028; score = -508.0; mean_score/100_episodes = -509.13; reward = -508.0; mean_reward/100_episodes = -509.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-15 04:48:45
