Episode no = 100; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.95; reward = -510.0; mean_reward/100_episodes = -510.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-11 03:15:00
Episode no = 200; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -510.23; reward = -508.0; mean_reward/100_episodes = -510.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-11 03:15:06
Episode no = 300; won: False; iter_time_steps = 5; Q(s,a) = nan; score = -504.0; mean_score/100_episodes = -509.8; reward = -504.0; mean_reward/100_episodes = -509.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-11 03:15:13
Episode no = 400; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -510.69; reward = -507.0; mean_reward/100_episodes = -510.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-11 03:15:20
Episode no = 500; won: False; iter_time_steps = 14; Q(s,a) = -1.075379173648544; score = -513.0; mean_score/100_episodes = -509.52; reward = -513.0; mean_reward/100_episodes = -509.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-11 03:15:27
Episode no = 600; won: False; iter_time_steps = 19; Q(s,a) = -1.3026949104142063; score = -518.0; mean_score/100_episodes = -509.43; reward = -518.0; mean_reward/100_episodes = -509.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-11 03:15:33
Episode no = 700; won: False; iter_time_steps = 9; Q(s,a) = -1.532703658447195; score = -508.0; mean_score/100_episodes = -509.7; reward = -508.0; mean_reward/100_episodes = -509.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-11 03:15:40
Episode no = 800; won: False; iter_time_steps = 9; Q(s,a) = -1.7653519227580992; score = -508.0; mean_score/100_episodes = -509.95; reward = -508.0; mean_reward/100_episodes = -509.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-11 03:15:47
Episode no = 900; won: False; iter_time_steps = 7; Q(s,a) = -1.971131425997115; score = -506.0; mean_score/100_episodes = -508.54; reward = -506.0; mean_reward/100_episodes = -508.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-11 03:15:52
Episode no = 1000; won: False; iter_time_steps = 7; Q(s,a) = -3.089238654603248; score = -506.0; mean_score/100_episodes = -509.1; reward = -506.0; mean_reward/100_episodes = -508.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-11 03:15:59
Episode no = 1100; won: False; iter_time_steps = 14; Q(s,a) = nan; score = -503.0; mean_score/100_episodes = -508.83; reward = -502.0; mean_reward/100_episodes = -508.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-11 03:16:05
Episode no = 1200; won: False; iter_time_steps = 9; Q(s,a) = -4.73174188762386; score = -508.0; mean_score/100_episodes = -510.29; reward = -508.0; mean_reward/100_episodes = -509.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-11 03:16:12
Episode no = 1300; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -510.27; reward = -505.0; mean_reward/100_episodes = -510.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-11 03:16:19
Episode no = 1400; won: False; iter_time_steps = 14; Q(s,a) = -6.4594222884647285; score = -513.0; mean_score/100_episodes = -509.38; reward = -513.0; mean_reward/100_episodes = -509.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-11 03:16:27
Episode no = 1500; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -510.46; reward = -509.0; mean_reward/100_episodes = -510.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-11 03:16:34
Episode no = 1600; won: False; iter_time_steps = 12; Q(s,a) = -7.843658510230478; score = -511.0; mean_score/100_episodes = -509.83; reward = -511.0; mean_reward/100_episodes = -509.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-11 03:16:40
Episode no = 1700; won: False; iter_time_steps = 11; Q(s,a) = -8.506202812224132; score = -510.0; mean_score/100_episodes = -509.74; reward = -510.0; mean_reward/100_episodes = -509.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-11 03:16:47
Episode no = 1800; won: False; iter_time_steps = 8; Q(s,a) = -9.3067303293625; score = -507.0; mean_score/100_episodes = -510.37; reward = -507.0; mean_reward/100_episodes = -510.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-11 03:16:55
Episode no = 1900; won: False; iter_time_steps = 11; Q(s,a) = -9.882996696754162; score = -510.0; mean_score/100_episodes = -509.8; reward = -510.0; mean_reward/100_episodes = -509.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-11 03:17:02
Episode no = 2000; won: False; iter_time_steps = 8; Q(s,a) = -10.37972375374679; score = -507.0; mean_score/100_episodes = -510.6; reward = -507.0; mean_reward/100_episodes = -510.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-11 03:17:10
Episode no = 2100; won: False; iter_time_steps = 9; Q(s,a) = -11.034280607952837; score = -508.0; mean_score/100_episodes = -509.93; reward = -508.0; mean_reward/100_episodes = -509.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-11 03:17:17
Episode no = 2200; won: False; iter_time_steps = 6; Q(s,a) = -11.546046782111212; score = -505.0; mean_score/100_episodes = -509.14; reward = -505.0; mean_reward/100_episodes = -509.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-11 03:17:24
Episode no = 2300; won: False; iter_time_steps = 8; Q(s,a) = -12.025050392001003; score = -507.0; mean_score/100_episodes = -509.55; reward = -507.0; mean_reward/100_episodes = -509.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-11 03:17:31
Episode no = 2400; won: False; iter_time_steps = 8; Q(s,a) = -12.475205730221997; score = -507.0; mean_score/100_episodes = -509.99; reward = -507.0; mean_reward/100_episodes = -510.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-11 03:17:38
Episode no = 2500; won: False; iter_time_steps = 9; Q(s,a) = -12.88535917254376; score = -508.0; mean_score/100_episodes = -509.51; reward = -508.0; mean_reward/100_episodes = -509.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-11 03:17:45
Episode no = 2600; won: False; iter_time_steps = 11; Q(s,a) = -13.270104053295277; score = -510.0; mean_score/100_episodes = -509.64; reward = -510.0; mean_reward/100_episodes = -509.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-11 03:17:52
Episode no = 2700; won: False; iter_time_steps = 8; Q(s,a) = -13.69307434189229; score = -507.0; mean_score/100_episodes = -510.42; reward = -507.0; mean_reward/100_episodes = -510.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-11 03:18:01
Episode no = 2800; won: False; iter_time_steps = 12; Q(s,a) = -13.978731037314038; score = -511.0; mean_score/100_episodes = -510.72; reward = -511.0; mean_reward/100_episodes = -510.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-11 03:18:10
