Episode no = 100; won: False; iter_time_steps = 29; Q(s,a) = -0.7007738802673569; score = -508.0; mean_score/100_episodes = -461.72; reward = -506.0; mean_reward/100_episodes = -452.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-20 14:29:25
Episode no = 200; won: False; iter_time_steps = 16; Q(s,a) = -1.328043946349235; score = -495.0; mean_score/100_episodes = -463.78; reward = -493.0; mean_reward/100_episodes = -458.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-20 14:30:06
Episode no = 300; won: False; iter_time_steps = 27; Q(s,a) = nan; score = -426.0; mean_score/100_episodes = -464.46; reward = -416.0; mean_reward/100_episodes = -456.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-20 14:30:53
Episode no = 400; won: False; iter_time_steps = 182; Q(s,a) = -2.2202048398235528; score = -521.0; mean_score/100_episodes = -462.34; reward = -505.0; mean_reward/100_episodes = -451.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-20 14:31:39
Episode no = 500; won: False; iter_time_steps = 50; Q(s,a) = -3.0627502955565875; score = -489.0; mean_score/100_episodes = -468.16; reward = -483.0; mean_reward/100_episodes = -460.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-20 14:32:26
Episode no = 600; won: False; iter_time_steps = 17; Q(s,a) = -2.5989434432717378; score = -436.0; mean_score/100_episodes = -467.23; reward = -439.0; mean_reward/100_episodes = -459.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-20 14:33:17
Episode no = 700; won: False; iter_time_steps = 167; Q(s,a) = -1.9556667371363432; score = -466.0; mean_score/100_episodes = -466.37; reward = -435.0; mean_reward/100_episodes = -455.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-20 14:34:05
Episode no = 800; won: False; iter_time_steps = 22; Q(s,a) = 7.832001117823126; score = -481.0; mean_score/100_episodes = -455.22; reward = -477.0; mean_reward/100_episodes = -443.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-20 14:34:59
Episode no = 900; won: False; iter_time_steps = 130; Q(s,a) = 0.6512917757039861; score = -499.0; mean_score/100_episodes = -434.12; reward = -497.0; mean_reward/100_episodes = -423.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-20 14:35:49
Episode no = 1000; won: False; iter_time_steps = 65; Q(s,a) = 25.390944158625082; score = -374.0; mean_score/100_episodes = -439.72; reward = -355.0; mean_reward/100_episodes = -429.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-20 14:36:29
Episode no = 1100; won: False; iter_time_steps = 139; Q(s,a) = 34.74252411237173; score = -258.0; mean_score/100_episodes = -427.09; reward = -220.0; mean_reward/100_episodes = -417.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-20 14:37:07
