Episode no = 100; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -508.59; reward = -505.0; mean_reward/100_episodes = -508.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-23 05:09:46
Episode no = 200; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -510.73; reward = -507.0; mean_reward/100_episodes = -510.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-23 05:09:59
Episode no = 300; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.16; reward = -507.0; mean_reward/100_episodes = -509.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-23 05:10:08
Episode no = 400; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -510.11; reward = -505.0; mean_reward/100_episodes = -509.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-23 05:10:19
Episode no = 500; won: False; iter_time_steps = 18; Q(s,a) = -7.8797908107692205; score = -517.0; mean_score/100_episodes = -509.02; reward = -517.0; mean_reward/100_episodes = -508.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-23 05:10:28
Episode no = 600; won: False; iter_time_steps = 6; Q(s,a) = -4.609430019050062; score = -505.0; mean_score/100_episodes = -509.67; reward = -505.0; mean_reward/100_episodes = -509.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-23 05:10:39
Episode no = 700; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -509.0; reward = -511.0; mean_reward/100_episodes = -508.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-23 05:10:51
Episode no = 800; won: False; iter_time_steps = 20; Q(s,a) = -6.22107240072124; score = -509.0; mean_score/100_episodes = -499.3; reward = -508.0; mean_reward/100_episodes = -503.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.01, 2024-12-23 05:11:01
Episode no = 900; won: False; iter_time_steps = 9; Q(s,a) = -6.024581731018994; score = -508.0; mean_score/100_episodes = -509.47; reward = -508.0; mean_reward/100_episodes = -509.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-23 05:11:11
Episode no = 1000; won: False; iter_time_steps = 21; Q(s,a) = -7.11776465986226; score = -520.0; mean_score/100_episodes = -509.44; reward = -520.0; mean_reward/100_episodes = -509.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-23 05:11:22
Episode no = 1100; won: False; iter_time_steps = 11; Q(s,a) = -6.094585151760368; score = -510.0; mean_score/100_episodes = -509.39; reward = -510.0; mean_reward/100_episodes = -509.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-23 05:11:32
