Episode no = 100; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.71; reward = -507.0; mean_reward/100_episodes = -509.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-12 13:43:26
Episode no = 200; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -499.3; reward = -507.0; mean_reward/100_episodes = -503.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.01, 2024-12-12 13:43:33
Episode no = 300; won: False; iter_time_steps = 41; Q(s,a) = -0.6217524053559333; score = -530.0; mean_score/100_episodes = -510.12; reward = -529.0; mean_reward/100_episodes = -510.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-12 13:43:40
Episode no = 400; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.19; reward = -505.0; mean_reward/100_episodes = -509.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-12 13:43:46
Episode no = 500; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -509.13; reward = -511.0; mean_reward/100_episodes = -509.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-12 13:43:54
Episode no = 600; won: False; iter_time_steps = 5; Q(s,a) = nan; score = -504.0; mean_score/100_episodes = -509.6; reward = -504.0; mean_reward/100_episodes = -509.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-12 13:44:01
Episode no = 700; won: False; iter_time_steps = 5; Q(s,a) = nan; score = -504.0; mean_score/100_episodes = -509.58; reward = -504.0; mean_reward/100_episodes = -509.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-12 13:44:08
Episode no = 800; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.79; reward = -505.0; mean_reward/100_episodes = -509.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-12 13:44:15
Episode no = 900; won: False; iter_time_steps = 24; Q(s,a) = -2.040639186208314; score = -523.0; mean_score/100_episodes = -509.79; reward = -523.0; mean_reward/100_episodes = -509.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-12 13:44:24
Episode no = 1000; won: False; iter_time_steps = 10; Q(s,a) = -2.6566992284392033; score = -509.0; mean_score/100_episodes = -510.25; reward = -509.0; mean_reward/100_episodes = -510.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-12 13:44:31
Episode no = 1100; won: False; iter_time_steps = 21; Q(s,a) = -3.458474825529187; score = -520.0; mean_score/100_episodes = -509.7; reward = -520.0; mean_reward/100_episodes = -509.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-12 13:44:38
Episode no = 1200; won: False; iter_time_steps = 12; Q(s,a) = -4.367259205017903; score = -511.0; mean_score/100_episodes = -509.5; reward = -511.0; mean_reward/100_episodes = -509.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-12 13:44:46
Episode no = 1300; won: False; iter_time_steps = 10; Q(s,a) = -5.225789685084396; score = -509.0; mean_score/100_episodes = -509.24; reward = -509.0; mean_reward/100_episodes = -509.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-12 13:44:54
Episode no = 1400; won: False; iter_time_steps = 10; Q(s,a) = -6.031691127074637; score = -509.0; mean_score/100_episodes = -510.87; reward = -509.0; mean_reward/100_episodes = -510.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-12 13:45:02
Episode no = 1500; won: False; iter_time_steps = 16; Q(s,a) = -6.799707424570016; score = -505.0; mean_score/100_episodes = -509.95; reward = -504.0; mean_reward/100_episodes = -509.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-12 13:45:09
Episode no = 1600; won: False; iter_time_steps = 18; Q(s,a) = -7.478393586366582; score = -517.0; mean_score/100_episodes = -510.42; reward = -517.0; mean_reward/100_episodes = -510.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-12 13:45:17
Episode no = 1700; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -510.24; reward = -505.0; mean_reward/100_episodes = -510.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-12 13:45:24
Episode no = 1800; won: False; iter_time_steps = 10; Q(s,a) = -8.93231261322965; score = -509.0; mean_score/100_episodes = -510.54; reward = -509.0; mean_reward/100_episodes = -510.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-12 13:45:32
Episode no = 1900; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -509.69; reward = -511.0; mean_reward/100_episodes = -509.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-12 13:45:39
Episode no = 2000; won: False; iter_time_steps = 10; Q(s,a) = -10.113119130227808; score = -509.0; mean_score/100_episodes = -509.65; reward = -509.0; mean_reward/100_episodes = -509.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-12 13:45:46
Episode no = 2100; won: False; iter_time_steps = 21; Q(s,a) = -10.670277678041211; score = -520.0; mean_score/100_episodes = -509.83; reward = -520.0; mean_reward/100_episodes = -509.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-12 13:45:53
Episode no = 2200; won: False; iter_time_steps = 7; Q(s,a) = -11.253969047865933; score = -506.0; mean_score/100_episodes = -509.41; reward = -506.0; mean_reward/100_episodes = -509.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-12 13:46:00
Episode no = 2300; won: False; iter_time_steps = 18; Q(s,a) = -11.748687895193545; score = -507.0; mean_score/100_episodes = -509.45; reward = -506.0; mean_reward/100_episodes = -509.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-12 13:46:07
Episode no = 2400; won: False; iter_time_steps = 8; Q(s,a) = -12.264335536416763; score = -507.0; mean_score/100_episodes = -509.57; reward = -507.0; mean_reward/100_episodes = -509.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-12 13:46:14
Episode no = 2500; won: False; iter_time_steps = 12; Q(s,a) = -12.73284097656726; score = -511.0; mean_score/100_episodes = -509.62; reward = -511.0; mean_reward/100_episodes = -509.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-12 13:46:20
Episode no = 2600; won: False; iter_time_steps = 8; Q(s,a) = -13.147762265404435; score = -507.0; mean_score/100_episodes = -509.4; reward = -507.0; mean_reward/100_episodes = -509.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-12 13:46:28
