Episode no = 100; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.46; reward = -509.0; mean_reward/100_episodes = -509.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-10 14:15:41
Episode no = 200; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.62; reward = -508.0; mean_reward/100_episodes = -509.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-10 14:15:48
Episode no = 100; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -508.93; reward = -509.0; mean_reward/100_episodes = -508.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-10 14:16:33
Episode no = 200; won: False; iter_time_steps = 12; Q(s,a) = -0.362248225707639; score = -511.0; mean_score/100_episodes = -509.43; reward = -511.0; mean_reward/100_episodes = -509.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-10 14:16:39
Episode no = 300; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.49; reward = -508.0; mean_reward/100_episodes = -509.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-10 14:16:46
Episode no = 400; won: False; iter_time_steps = 8; Q(s,a) = -0.8268309322936557; score = -507.0; mean_score/100_episodes = -510.05; reward = -507.0; mean_reward/100_episodes = -509.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-10 14:16:54
Episode no = 500; won: False; iter_time_steps = 13; Q(s,a) = nan; score = -512.0; mean_score/100_episodes = -509.02; reward = -512.0; mean_reward/100_episodes = -508.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-10 14:17:00
Episode no = 600; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.73; reward = -507.0; mean_reward/100_episodes = -509.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-10 14:17:07
Episode no = 700; won: False; iter_time_steps = 9; Q(s,a) = -1.5720171394961693; score = -508.0; mean_score/100_episodes = -510.19; reward = -508.0; mean_reward/100_episodes = -510.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-10 14:17:14
Episode no = 800; won: False; iter_time_steps = 12; Q(s,a) = -1.9782851278241944; score = -511.0; mean_score/100_episodes = -509.57; reward = -511.0; mean_reward/100_episodes = -509.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-10 14:17:20
Episode no = 900; won: False; iter_time_steps = 5; Q(s,a) = nan; score = -504.0; mean_score/100_episodes = -509.2; reward = -504.0; mean_reward/100_episodes = -509.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-10 14:17:26
Episode no = 1000; won: False; iter_time_steps = 12; Q(s,a) = -3.1720244253500836; score = -511.0; mean_score/100_episodes = -510.69; reward = -511.0; mean_reward/100_episodes = -510.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-10 14:17:34
Episode no = 1100; won: False; iter_time_steps = 7; Q(s,a) = -3.7301850315875686; score = -506.0; mean_score/100_episodes = -509.83; reward = -506.0; mean_reward/100_episodes = -509.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-10 14:17:40
Episode no = 1200; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.61; reward = -509.0; mean_reward/100_episodes = -509.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-10 14:17:47
Episode no = 1300; won: False; iter_time_steps = 7; Q(s,a) = -6.590231809683418; score = -506.0; mean_score/100_episodes = -508.69; reward = -506.0; mean_reward/100_episodes = -508.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-10 14:17:54
Episode no = 1400; won: False; iter_time_steps = 8; Q(s,a) = -5.243929034700436; score = -507.0; mean_score/100_episodes = -510.03; reward = -507.0; mean_reward/100_episodes = -510.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-10 14:18:02
Episode no = 1500; won: False; iter_time_steps = 13; Q(s,a) = -6.217351058803082; score = -512.0; mean_score/100_episodes = -510.09; reward = -512.0; mean_reward/100_episodes = -510.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-10 14:18:10
Episode no = 1600; won: False; iter_time_steps = 8; Q(s,a) = -8.691255382637726; score = -507.0; mean_score/100_episodes = -509.61; reward = -507.0; mean_reward/100_episodes = -509.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-10 14:18:17
Episode no = 1700; won: False; iter_time_steps = 17; Q(s,a) = -9.109655787937676; score = -516.0; mean_score/100_episodes = -509.76; reward = -516.0; mean_reward/100_episodes = -509.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-10 14:18:25
Episode no = 1800; won: False; iter_time_steps = 9; Q(s,a) = -8.558205092093795; score = -508.0; mean_score/100_episodes = -499.77; reward = -508.0; mean_reward/100_episodes = -503.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.01, 2024-12-10 14:18:32
