Episode no = 100; won: False; iter_time_steps = 278; Q(s,a) = -0.8447302828915649; score = -567.0; mean_score/100_episodes = -526.07; reward = -546.0; mean_reward/100_episodes = -521.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-10 02:00:52
Episode no = 200; won: False; iter_time_steps = 210; Q(s,a) = -1.6904339848954544; score = -529.0; mean_score/100_episodes = -531.46; reward = -511.0; mean_reward/100_episodes = -528.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-10 02:05:38
Episode no = 300; won: False; iter_time_steps = 66; Q(s,a) = -2.500722464365963; score = -465.0; mean_score/100_episodes = -512.08; reward = -455.0; mean_reward/100_episodes = -521.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-10 02:10:24
Episode no = 400; won: False; iter_time_steps = 426; Q(s,a) = -3.25430145249076; score = -585.0; mean_score/100_episodes = -531.11; reward = -551.0; mean_reward/100_episodes = -531.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-10 02:29:10
Episode no = 500; won: False; iter_time_steps = 1078; Q(s,a) = -3.9324250218830006; score = -587.0; mean_score/100_episodes = -496.45; reward = -657.0; mean_reward/100_episodes = -500.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-10 02:33:24
Episode no = 600; won: False; iter_time_steps = 682; Q(s,a) = -4.600621782220681; score = -401.0; mean_score/100_episodes = -494.12; reward = -661.0; mean_reward/100_episodes = -504.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-10 02:37:48
Episode no = 700; won: False; iter_time_steps = 101; Q(s,a) = -5.051105483963135; score = -450.0; mean_score/100_episodes = -494.21; reward = -424.0; mean_reward/100_episodes = -502.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-10 02:42:08
Episode no = 800; won: False; iter_time_steps = 154; Q(s,a) = -5.440934420313037; score = -413.0; mean_score/100_episodes = -470.67; reward = -389.0; mean_reward/100_episodes = -480.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-10 02:46:15
Episode no = 900; won: False; iter_time_steps = 108; Q(s,a) = -5.875471160134876; score = -417.0; mean_score/100_episodes = -448.14; reward = -398.0; mean_reward/100_episodes = -444.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-10 02:49:41
Episode no = 1000; won: False; iter_time_steps = 155; Q(s,a) = -1.0639098607033706; score = -424.0; mean_score/100_episodes = -439.18; reward = -401.0; mean_reward/100_episodes = -438.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-10 02:53:56
Episode no = 1100; won: False; iter_time_steps = 224; Q(s,a) = 8.671053818372677; score = -273.0; mean_score/100_episodes = -410.34; reward = -239.0; mean_reward/100_episodes = -427.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-10 02:58:15
