Episode no = 100; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.49; reward = -505.0; mean_reward/100_episodes = -509.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-19 03:40:21
Episode no = 200; won: False; iter_time_steps = 11; Q(s,a) = -2.181643106599881; score = -510.0; mean_score/100_episodes = -509.5; reward = -510.0; mean_reward/100_episodes = -509.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-19 03:40:25
Episode no = 300; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.74; reward = -510.0; mean_reward/100_episodes = -509.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-19 03:40:28
Episode no = 400; won: False; iter_time_steps = 26; Q(s,a) = -3.9534267325633516; score = -525.0; mean_score/100_episodes = -510.14; reward = -525.0; mean_reward/100_episodes = -510.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-19 03:40:32
Episode no = 500; won: False; iter_time_steps = 6; Q(s,a) = -4.639712681814264; score = -505.0; mean_score/100_episodes = -510.43; reward = -505.0; mean_reward/100_episodes = -510.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-19 03:40:36
Episode no = 600; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.35; reward = -506.0; mean_reward/100_episodes = -509.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-19 03:40:39
Episode no = 700; won: False; iter_time_steps = 13; Q(s,a) = nan; score = -512.0; mean_score/100_episodes = -509.98; reward = -512.0; mean_reward/100_episodes = -509.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-19 03:40:43
Episode no = 800; won: False; iter_time_steps = 35; Q(s,a) = -6.829370801562541; score = -534.0; mean_score/100_episodes = -510.17; reward = -534.0; mean_reward/100_episodes = -510.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-19 03:40:47
Episode no = 900; won: False; iter_time_steps = 16; Q(s,a) = -7.9515163034596075; score = -515.0; mean_score/100_episodes = -509.59; reward = -515.0; mean_reward/100_episodes = -509.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-19 03:40:51
Episode no = 1000; won: False; iter_time_steps = 23; Q(s,a) = -8.197557044786299; score = -522.0; mean_score/100_episodes = -509.16; reward = -522.0; mean_reward/100_episodes = -509.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-19 03:40:54
Episode no = 1100; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.89; reward = -508.0; mean_reward/100_episodes = -509.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-19 03:40:58
Episode no = 1200; won: False; iter_time_steps = 12; Q(s,a) = -9.499858026075197; score = -511.0; mean_score/100_episodes = -510.19; reward = -511.0; mean_reward/100_episodes = -510.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-19 03:41:02
Episode no = 1300; won: False; iter_time_steps = 13; Q(s,a) = -10.093645388218457; score = -512.0; mean_score/100_episodes = -509.04; reward = -512.0; mean_reward/100_episodes = -508.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-19 03:41:06
Episode no = 1400; won: False; iter_time_steps = 12; Q(s,a) = -11.244483620038343; score = -511.0; mean_score/100_episodes = -510.15; reward = -511.0; mean_reward/100_episodes = -510.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-19 03:41:10
Episode no = 1500; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -510.57; reward = -509.0; mean_reward/100_episodes = -510.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-19 03:41:14
Episode no = 1600; won: False; iter_time_steps = 24; Q(s,a) = -11.488637541706499; score = -523.0; mean_score/100_episodes = -510.37; reward = -523.0; mean_reward/100_episodes = -510.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-19 03:41:18
Episode no = 1700; won: False; iter_time_steps = 11; Q(s,a) = -12.508935883255166; score = -510.0; mean_score/100_episodes = -510.24; reward = -510.0; mean_reward/100_episodes = -510.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-19 03:41:23
Episode no = 1800; won: False; iter_time_steps = 6; Q(s,a) = -12.670571182034706; score = -505.0; mean_score/100_episodes = -510.49; reward = -505.0; mean_reward/100_episodes = -510.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-19 03:41:27
Episode no = 1900; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -511.04; reward = -506.0; mean_reward/100_episodes = -511.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-19 03:41:31
Episode no = 2000; won: False; iter_time_steps = 13; Q(s,a) = -14.624469320173112; score = -512.0; mean_score/100_episodes = -511.46; reward = -512.0; mean_reward/100_episodes = -511.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-19 03:41:35
Episode no = 2100; won: False; iter_time_steps = 10; Q(s,a) = -13.407511264947644; score = -509.0; mean_score/100_episodes = -510.11; reward = -509.0; mean_reward/100_episodes = -509.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-19 03:41:39
