Episode no = 100; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.26; reward = -509.0; mean_reward/100_episodes = -509.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-19 03:44:56
Episode no = 200; won: False; iter_time_steps = 22; Q(s,a) = nan; score = -521.0; mean_score/100_episodes = -510.7; reward = -521.0; mean_reward/100_episodes = -510.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-19 03:45:03
Episode no = 300; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.09; reward = -505.0; mean_reward/100_episodes = -508.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-19 03:45:09
Episode no = 400; won: False; iter_time_steps = 9; Q(s,a) = -0.8522722368320433; score = -508.0; mean_score/100_episodes = -509.92; reward = -508.0; mean_reward/100_episodes = -509.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-19 03:45:15
Episode no = 500; won: False; iter_time_steps = 16; Q(s,a) = -1.0850475200226477; score = -505.0; mean_score/100_episodes = -509.47; reward = -504.0; mean_reward/100_episodes = -509.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-19 03:45:22
Episode no = 600; won: False; iter_time_steps = 21; Q(s,a) = -1.2873369851057452; score = -520.0; mean_score/100_episodes = -508.61; reward = -520.0; mean_reward/100_episodes = -508.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-19 03:45:27
Episode no = 700; won: False; iter_time_steps = 15; Q(s,a) = nan; score = -514.0; mean_score/100_episodes = -509.54; reward = -514.0; mean_reward/100_episodes = -509.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-19 03:45:34
Episode no = 800; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.56; reward = -509.0; mean_reward/100_episodes = -509.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-19 03:45:40
Episode no = 900; won: False; iter_time_steps = 8; Q(s,a) = -2.545172174960929; score = -507.0; mean_score/100_episodes = -509.99; reward = -507.0; mean_reward/100_episodes = -509.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-19 03:45:47
Episode no = 1000; won: False; iter_time_steps = 8; Q(s,a) = -3.1596106837765427; score = -507.0; mean_score/100_episodes = -510.46; reward = -507.0; mean_reward/100_episodes = -510.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-19 03:45:55
Episode no = 1100; won: False; iter_time_steps = 9; Q(s,a) = -4.65253781860082; score = -508.0; mean_score/100_episodes = -510.38; reward = -508.0; mean_reward/100_episodes = -510.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-19 03:46:02
Episode no = 1200; won: False; iter_time_steps = 10; Q(s,a) = -5.278643485158866; score = -509.0; mean_score/100_episodes = -508.97; reward = -509.0; mean_reward/100_episodes = -508.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-19 03:46:09
Episode no = 1300; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.7; reward = -510.0; mean_reward/100_episodes = -509.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-19 03:46:15
